name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_fresh,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
GOCL Corpn.,GOCLCORP,/company/GOCLCORP/consolidated/,382.80,1897.63,Jun 2026,Mar 2026,True,67.82,67.82,0.0,5.08,5.34,0.26,1.26,1.34,0.08,0.3,0.3,0.0,25.55,25.19,-0.36,38139.0,35590.0,-2549.0
Godawari Power,GPIL,/company/GPIL/consolidated/,230.35,15508.05,Jun 2026,Mar 2026,True,63.34,63.18,-0.16,5.94,6.0,0.06,2.63,3.1,0.47,0.0,0.0,0.0,28.09,27.72,-0.37,138643.0,150509.0,11866.0
Godfrey Phillips,GODFRYPHLP,/company/GODFRYPHLP/consolidated/,1975.90,30820.43,Jun 2026,Mar 2026,True,72.58,72.58,0.0,7.91,7.8,-0.11,3.28,3.66,0.38,0.02,0.02,0.0,16.2,15.93,-0.27,166845.0,156601.0,-10244.0
Godrej Agrovet,GODREJAGRO,/company/GODREJAGRO/consolidated/,661.00,12718.45,Jun 2026,Mar 2026,True,67.75,67.75,0.0,6.32,6.48,0.16,5.86,5.28,-0.58,,,,20.08,20.49,0.41,111365.0,114250.0,2885.0
Godrej Industrie,GODREJIND,/company/GODREJIND/consolidated/,1103.00,37154.66,Jun 2026,Mar 2026,True,74.63,74.64,0.01,4.47,4.56,0.09,3.47,3.47,0.0,,,,17.43,17.32,-0.11,84014.0,84502.0,488.0
Gokaldas Exports,GOKEX,/company/GOKEX/consolidated/,689.10,5049.52,Jun 2026,Mar 2026,True,9.15,9.15,0.0,19.85,14.46,-5.39,37.58,43.41,5.83,,,,33.42,32.98,-0.44,85609.0,80401.0,-5208.0
Gokul Agro,GOKULAGRO,/company/GOKULAGRO/consolidated/,222.05,6552.41,Jun 2026,Mar 2026,True,74.24,74.24,0.0,1.51,1.87,0.36,0.09,0.11,0.02,,,,24.18,23.78,-0.4,52418.0,50407.0,-2011.0
Goldiam Intl.,GOLDIAM,/company/GOLDIAM/consolidated/,325.50,4900.61,Jul 2026,Jun 2026,True,58.51,58.51,0.0,1.99,2.18,0.19,0.78,0.06,-0.72,,,,38.72,39.25,0.53,75143.0,75383.0,240.0
Goodluck India,GOODLUCK,/company/GOODLUCK/consolidated/,526.90,5253.95,Aug 2026,Jun 2026,True,54.0,54.0,0.0,2.48,1.92,-0.56,6.5,6.14,-0.36,,,,37.02,37.92,0.9,38457.0,44709.0,6252.0
Gopal Snacks,GOPAL,/company/GOPAL/,259.50,3235.13,Jun 2026,Mar 2026,True,81.46,81.45,-0.01,0.71,0.75,0.04,6.28,5.68,-0.6,,,,11.56,12.1,0.54,66823.0,65905.0,-918.0
GPT Healthcare,GPTHEALTH,/company/GPTHEALTH/,162.55,1333.79,Jun 2026,Mar 2026,True,65.57,65.57,0.0,2.81,3.03,0.22,6.84,6.94,0.1,,,,24.79,24.46,-0.33,64075.0,62454.0,-1621.0
GPT Infraproject,GPTINFRA,/company/GPTINFRA/consolidated/,114.70,1449.37,Jun 2026,Mar 2026,True,69.37,69.37,0.0,2.72,2.96,0.24,7.03,7.03,0.0,,,,20.88,20.65,-0.23,35326.0,34177.0,-1149.0
Granules India,GRANULES,/company/GRANULES/consolidated/,858.55,23419.48,Sep 2026,Jun 2026,True,38.01,37.39,-0.62,17.5,20.29,2.79,16.11,15.4,-0.71,,,,28.36,26.93,-1.43,169422.0,182080.0,12658.0
Greenpanel Inds.,GREENPANEL,/company/GREENPANEL/,162.10,1987.81,Jun 2026,Mar 2026,True,53.13,53.26,0.13,1.07,0.94,-0.13,28.4,28.49,0.09,0.0,0.0,0.0,17.4,17.29,-0.11,88249.0,86784.0,-1465.0
Greenply Industr,GREENPLY,/company/GREENPLY/consolidated/,285.60,3567.22,Jun 2026,Mar 2026,True,51.9,51.93,0.03,4.19,4.44,0.25,31.83,31.42,-0.41,,,,12.1,12.22,0.12,53767.0,52337.0,-1430.0
Gretex Corporate,GCSL,/company/GCSL/consolidated/,647.90,1620.11,Sep 2026,Jun 2026,True,61.64,60.53,-1.11,1.99,2.49,0.5,0.0,0.0,0.0,,,,36.36,36.97,0.61,2842.0,2981.0,139.0
Grindwell Norton,GRINDWELL,/company/GRINDWELL/consolidated/,1972.30,21837.30,Jun 2026,Mar 2026,True,58.04,58.04,0.0,5.56,5.21,-0.35,19.18,19.59,0.41,,,,17.23,17.17,-0.06,46994.0,45545.0,-1449.0
GTL Infra.,GTLINFRA,/company/GTLINFRA/,1.11,1421.84,Jun 2026,Mar 2026,True,3.28,3.28,0.0,0.06,0.77,0.71,31.28,31.2,-0.08,,,,65.37,64.77,-0.6,2710397.0,2675623.0,-34774.0
