name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_fresh,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
KP Green Engg.,544150,/company/544150/,294.80,1474.00,Mar 2026,Sep 2025,True,66.61,66.61,0.0,0.34,0.35,0.01,0.1,0.13,0.03,,,,32.95,32.92,-0.03,8704.0,9011.0,307.0
Krishana Phosch.,KRISHANA,/company/KRISHANA/,184.75,5711.33,Jun 2026,Mar 2026,True,72.94,72.93,-0.01,0.26,0.37,0.11,0.0,0.03,0.03,,,,26.8,26.67,-0.13,12975.0,19162.0,6187.0
Krishival Foods,KRISHIVAL,/company/KRISHIVAL/consolidated/,413.25,1173.65,Aug 2026,Jun 2026,True,37.23,37.23,0.0,0.47,0.47,0.0,1.45,3.01,1.56,9.5,9.5,0.0,51.36,49.78,-1.58,2099.0,2046.0,-53.0
Krishna Defence,KRISHNADEF,/company/KRISHNADEF/,1001.00,1496.26,Jun 2026,Mar 2026,True,59.96,59.9,-0.06,0.61,1.36,0.75,2.06,1.32,-0.74,,,,37.37,37.41,0.04,12910.0,18720.0,5810.0
Krishna Institu.,KIMS,/company/KIMS/consolidated/,784.80,32962.11,Jun 2026,Mar 2026,True,34.11,32.49,-1.62,14.57,14.75,0.18,32.5,34.42,1.92,,,,18.82,18.32,-0.5,93333.0,94730.0,1397.0
KRN Heat Exchan,KRN,/company/KRN/consolidated/,1407.45,9212.98,Jun 2026,Mar 2026,True,70.79,65.69,-5.1,6.66,8.86,2.2,6.39,8.33,1.94,,,,16.16,17.13,0.97,83713.0,91234.0,7521.0
Krsnaa Diagnost.,KRSNAA,/company/KRSNAA/,550.70,1786.40,Jun 2026,Mar 2026,True,27.11,27.11,0.0,3.91,4.28,0.37,13.89,14.51,0.62,,,,55.09,54.08,-1.01,53022.0,53625.0,603.0
KSH Internationa,KSHINTL,/company/KSHINTL/,1035.05,7013.08,Jun 2026,Mar 2026,True,74.58,74.58,0.0,5.05,5.71,0.66,13.89,10.87,-3.02,,,,6.47,8.84,2.37,34256.0,43075.0,8819.0
Kwality Pharma,KPL,/company/KPL/consolidated/,3666.00,3803.93,Jun 2026,Mar 2026,True,54.87,54.86,-0.01,2.79,3.13,0.34,0.36,0.56,0.2,,,,41.99,41.45,-0.54,10555.0,13279.0,2724.0
L T Foods,LTFOODS,/company/LTFOODS/consolidated/,423.45,14704.43,Jun 2026,Mar 2026,True,51.0,51.0,0.0,8.74,8.21,-0.53,10.3,10.84,0.54,,,,29.97,29.95,-0.02,202282.0,187263.0,-15019.0
L&T Finance Ltd,LTF,/company/LTF/consolidated/,283.75,71117.77,Jun 2026,Mar 2026,True,65.99,65.96,-0.03,7.64,7.71,0.07,14.91,14.9,-0.01,,,,11.48,11.45,-0.03,748865.0,732902.0,-15963.0
L&T Technology,LTTS,/company/LTTS/consolidated/,3203.95,33989.57,Jun 2026,Mar 2026,True,73.57,73.52,-0.05,3.86,4.13,0.27,14.64,14.05,-0.59,,,,7.93,8.29,0.36,244820.0,247423.0,2603.0
Larsen & Toubro,LT,/company/LT/consolidated/,3872.35,532794.74,Jun 2026,Mar 2026,True,,,,18.78,19.13,0.35,43.32,43.01,-0.31,0.25,0.25,0.0,37.64,37.6,-0.04,1801254.0,1795249.0,-6005.0
Laurus Labs,LAURUSLABS,/company/LAURUSLABS/consolidated/,1996.60,107878.73,Jun 2026,Mar 2026,True,27.49,27.47,-0.02,25.82,28.0,2.18,13.96,13.73,-0.23,,,,32.73,30.79,-1.94,292281.0,291653.0,-628.0
Leela Palaces Hotels,THELEELA,/company/THELEELA/consolidated/,545.05,18202.35,Jun 2026,Mar 2026,True,75.91,75.91,0.0,8.62,7.87,-0.75,10.51,11.51,1.0,,,,4.96,4.71,-0.25,51427.0,56090.0,4663.0
Lenskart Solut.,LENSKART,/company/LENSKART/consolidated/,675.55,117498.79,Jun 2026,Mar 2026,True,17.55,17.53,-0.02,4.26,12.76,8.5,15.48,23.56,8.08,,,,62.3,45.73,-16.57,111973.0,135967.0,23994.0
LG Electronics,LGEINDIA,/company/LGEINDIA/,1719.40,116708.10,Jun 2026,Mar 2026,True,85.0,85.0,0.0,2.73,3.13,0.4,8.03,7.84,-0.19,,,,4.25,4.03,-0.22,973763.0,919561.0,-54202.0
LIC Housing Fin.,LICHSGFIN,/company/LICHSGFIN/consolidated/,564.10,31029.06,Jun 2026,Mar 2026,True,45.24,45.24,0.0,21.39,21.47,0.08,20.89,21.02,0.13,,,,12.49,12.27,-0.22,347941.0,337873.0,-10068.0
Life Insurance,LICI,/company/LICI/consolidated/,408.20,516372.81,Jun 2026,Mar 2026,True,96.5,96.5,0.0,0.31,0.44,0.13,1.27,0.99,-0.28,,,,1.9,2.06,0.16,2111766.0,2152897.0,41131.0
Lloyds Metals,LLOYDSME,/company/LLOYDSME/consolidated/,1847.00,103995.14,Jun 2026,Mar 2026,True,61.65,61.63,-0.02,2.26,1.85,-0.41,1.71,2.18,0.47,,,,34.35,34.27,-0.08,119530.0,126658.0,7128.0
Lodha Developers,LODHA,/company/LODHA/consolidated/,1164.25,116353.51,Jun 2026,Mar 2026,True,72.27,70.31,-1.96,21.24,23.65,2.41,4.62,3.56,-1.06,,,,1.85,2.46,0.61,147462.0,158746.0,11284.0
Lumax Auto Tech.,LUMAXTECH,/company/LUMAXTECH/consolidated/,2051.45,13982.17,Jun 2026,Mar 2026,True,55.98,55.98,0.0,8.38,8.7,0.32,16.81,16.53,-0.28,,,,18.83,18.79,-0.04,58405.0,64759.0,6354.0
Lumax Industries,LUMAXIND,/company/LUMAXIND/consolidated/,5778.50,5402.91,Jun 2026,Mar 2026,True,75.0,75.0,0.0,1.63,1.36,-0.27,6.07,6.7,0.63,,,,17.3,16.94,-0.36,23690.0,24495.0,805.0
Lupin,LUPIN,/company/LUPIN/consolidated/,2088.00,95482.13,Jun 2026,Mar 2026,True,46.85,46.85,0.0,21.7,22.42,0.72,25.32,24.65,-0.67,0.0,0.0,0.0,6.13,6.08,-0.05,290411.0,300283.0,9872.0
M & M Fin. Serv.,M&MFIN,/company/M&MFIN/consolidated/,333.95,46425.45,Jun 2026,Mar 2026,True,52.49,52.49,0.0,9.4,9.53,0.13,32.09,31.48,-0.61,,,,5.98,6.46,0.48,236252.0,241776.0,5524.0
M B Agro Prod.,MBAPL,/company/MBAPL/,167.20,7325.58,Sep 2026,Jun 2026,True,74.76,71.38,-3.38,0.67,1.03,0.36,0.01,0.07,0.06,,,,24.57,27.52,2.95,12260.0,15993.0,3733.0
M M Forgings,MMFL,/company/MMFL/consolidated/,618.10,2984.32,Jun 2026,Mar 2026,True,56.33,56.33,0.0,1.85,2.44,0.59,8.38,7.49,-0.89,,,,33.44,33.73,0.29,30828.0,29930.0,-898.0
Mah. Scooters,MAHSCOOTER,/company/MAHSCOOTER/,13041.00,14904.00,Jun 2026,Mar 2026,True,51.0,51.0,0.0,6.33,6.18,-0.15,3.69,3.85,0.16,0.01,0.01,0.0,38.96,38.96,0.0,23919.0,24766.0,847.0
Mah. Seamless,MAHSEAMLES,/company/MAHSEAMLES/consolidated/,716.80,9604.52,Jun 2026,Mar 2026,True,70.28,70.28,0.0,9.58,9.72,0.14,3.29,3.84,0.55,,,,16.83,16.17,-0.66,88783.0,83466.0,-5317.0
Mahanagar Gas,MGL,/company/MGL/,1071.10,10580.06,Jun 2026,Mar 2026,True,32.5,32.5,0.0,24.13,23.21,-0.92,21.01,22.53,1.52,10.0,10.0,0.0,12.34,11.75,-0.59,184373.0,178033.0,-6340.0
Mamata Machinery,MAMATA,/company/MAMATA/consolidated/,412.00,1013.81,Jun 2026,Mar 2026,True,62.45,62.45,0.0,0.16,0.35,0.19,1.66,1.75,0.09,,,,35.72,35.46,-0.26,58374.0,54773.0,-3601.0
Man Industries,MANINDS,/company/MANINDS/consolidated/,980.00,7350.93,Jun 2026,Mar 2026,True,43.21,43.21,0.0,2.41,2.87,0.46,1.34,1.43,0.09,,,,53.03,52.48,-0.55,50913.0,49144.0,-1769.0
Manali Petrochem,MANALIPETC,/company/MANALIPETC/consolidated/,84.48,1453.01,Jun 2026,Mar 2026,True,44.87,44.87,0.0,0.37,0.38,0.01,0.01,0.01,0.0,,,,54.77,54.75,-0.02,148876.0,146235.0,-2641.0
Manappuram Fin.,MANAPPURAM,/company/MANAPPURAM/consolidated/,328.45,30852.50,Jun 2026,Mar 2026,True,31.77,41.66,9.89,23.23,22.3,-0.93,12.96,14.85,1.89,,,,32.03,21.2,-10.83,554109.0,526798.0,-27311.0
Mangalam World.,MWL,/company/MWL/consolidated/,43.66,1296.74,Jun 2026,Mar 2026,True,66.5,66.5,0.0,0.01,0.26,0.25,0.0,0.0,0.0,,,,33.49,33.24,-0.25,1683.0,2824.0,1141.0
Mankind Pharma,MANKIND,/company/MANKIND/consolidated/,2476.05,102272.00,Jun 2026,Mar 2026,True,72.66,72.63,-0.03,10.24,9.45,-0.79,14.46,15.39,0.93,,,,2.63,2.53,-0.1,177606.0,166715.0,-10891.0
Manoj Vaibhav,MVGJL,/company/MVGJL/,221.95,1084.18,Jun 2026,Mar 2026,True,74.28,74.28,0.0,0.6,0.64,0.04,1.11,1.02,-0.09,,,,24.01,24.06,0.05,29022.0,28221.0,-801.0
Manorama Indust.,MANORAMA,/company/MANORAMA/,1876.70,11846.18,Jun 2026,Mar 2026,True,54.32,54.32,0.0,2.89,3.22,0.33,3.0,2.63,-0.37,,,,39.78,39.83,0.05,36335.0,33841.0,-2494.0
Marico,MARICO,/company/MARICO/consolidated/,815.70,106056.38,Jun 2026,Mar 2026,True,58.93,58.92,-0.01,24.08,23.4,-0.68,12.17,12.87,0.7,0.13,0.15,0.02,4.49,4.49,0.0,287764.0,293560.0,5796.0
Marine Electric.,MARINE,/company/MARINE/consolidated/,411.20,5754.47,Jun 2026,Mar 2026,True,68.2,68.2,0.0,0.59,1.12,0.53,0.34,0.41,0.07,,,,30.87,30.27,-0.6,89030.0,86580.0,-2450.0
Marksans Pharma,MARKSANS,/company/MARKSANS/consolidated/,335.60,15208.21,Jun 2026,Mar 2026,True,43.87,43.87,0.0,16.76,17.47,0.71,6.57,6.19,-0.38,,,,32.78,32.46,-0.32,246279.0,246635.0,356.0
Marsons,MARSONS,/company/MARSONS/,123.20,2120.32,Jun 2026,Mar 2026,True,53.65,53.65,0.0,0.12,0.13,0.01,0.15,0.17,0.02,,,,46.08,46.05,-0.03,27035.0,30677.0,3642.0
MAS FINANC SER,MASFIN,/company/MASFIN/consolidated/,281.00,5098.82,Jun 2026,Mar 2026,True,66.66,66.66,0.0,3.46,3.69,0.23,20.04,19.68,-0.36,,,,9.86,9.97,0.11,40107.0,39685.0,-422.0
Mastek,MASTEK,/company/MASTEK/consolidated/,1586.90,4920.36,Jun 2026,Mar 2026,True,35.77,35.77,0.0,8.03,7.45,-0.58,19.02,19.86,0.84,,,,37.18,36.94,-0.24,88918.0,90431.0,1513.0
Master Trust,MASTERTR,/company/MASTERTR/consolidated/,83.43,1026.32,Jun 2026,Mar 2026,True,71.93,71.93,0.0,0.02,0.03,0.01,0.0,0.0,0.0,,,,28.05,28.04,-0.01,12747.0,15147.0,2400.0
Max Estates,MAXESTATES,/company/MAXESTATES/consolidated/,601.55,9840.15,Jun 2026,Mar 2026,True,45.27,45.25,-0.02,25.88,25.84,-0.04,7.65,8.2,0.55,,,,21.19,20.69,-0.5,30720.0,29722.0,-998.0
Max Financial,MFSL,/company/MFSL/consolidated/,1456.95,50281.49,Jun 2026,Mar 2026,True,1.25,1.25,0.0,47.88,48.06,0.18,44.74,44.34,-0.4,,,,6.11,6.35,0.24,77069.0,80336.0,3267.0
Max Healthcare,MAXHEALTH,/company/MAXHEALTH/consolidated/,1013.40,98635.33,Jun 2026,Mar 2026,True,23.71,23.71,0.0,45.39,41.78,-3.61,26.32,29.95,3.63,,,,4.58,4.55,-0.03,216996.0,224606.0,7610.0
Mayur Uniquoters,MAYURUNIQ,/company/MAYURUNIQ/consolidated/,731.70,3179.36,Jun 2026,Mar 2026,True,58.77,58.77,0.0,3.68,4.78,1.1,3.65,3.13,-0.52,,,,33.9,33.33,-0.57,38037.0,37381.0,-656.0
Medi Assist Ser.,MEDIASSIST,/company/MEDIASSIST/consolidated/,322.20,2406.88,Jun 2026,Mar 2026,True,4.61,4.61,0.0,24.31,25.42,1.11,49.18,47.24,-1.94,,,,21.9,22.74,0.84,88970.0,88148.0,-822.0
Media Matrix,MMWL,/company/MMWL/consolidated/,15.09,1709.31,Jun 2026,Mar 2026,True,59.41,59.41,0.0,0.0,0.01,0.01,,,,,,,40.58,40.57,-0.01,22479.0,22772.0,293.0
Medplus Health,MEDPLUS,/company/MEDPLUS/consolidated/,654.45,7862.39,Jun 2026,Mar 2026,True,40.22,40.19,-0.03,15.53,14.38,-1.15,27.82,29.95,2.13,,,,16.41,15.45,-0.96,77278.0,76005.0,-1273.0
Meesho,MEESHO,/company/MEESHO/consolidated/,218.40,101036.71,Jun 2026,Mar 2026,True,16.57,16.41,-0.16,4.17,5.19,1.02,5.56,9.14,3.58,,,,73.7,69.26,-4.44,189154.0,246157.0,57003.0
Meghna Infracon,MIIL,/company/MIIL/consolidated/,704.85,1531.20,Jun 2026,Mar 2026,True,47.01,47.01,0.0,7.89,7.98,0.09,,,,,,,45.09,45.02,-0.07,2596.0,2520.0,-76.0
Menon Bearings,MENONBE,/company/MENONBE/consolidated/,294.45,1650.10,Jun 2026,Mar 2026,True,68.44,68.44,0.0,0.21,0.14,-0.07,0.03,0.4,0.37,,,,31.31,31.03,-0.28,25436.0,24403.0,-1033.0
Metro Brands,METROBRAND,/company/METROBRAND/consolidated/,880.65,24007.57,Jun 2026,Mar 2026,True,71.8,71.8,0.0,3.77,3.73,-0.04,7.58,7.68,0.1,,,,16.86,16.78,-0.08,59425.0,57942.0,-1483.0
Metropolis Healt,METROPOLIS,/company/METROPOLIS/consolidated/,575.10,11930.66,Jun 2026,Mar 2026,True,48.86,48.86,0.0,10.43,11.03,0.6,35.8,35.12,-0.68,,,,4.92,5.0,0.08,49175.0,50636.0,1461.0
MIC Electronics,MICEL,/company/MICEL/consolidated/,36.25,1079.83,Sep 2026,Jun 2026,True,51.58,41.73,-9.85,5.58,20.36,14.78,,,,,,,42.84,37.92,-4.92,219167.0,214987.0,-4180.0
Midwest,MIDWESTLTD,/company/MIDWESTLTD/consolidated/,930.05,3363.15,Jun 2026,Mar 2026,True,77.13,77.12,-0.01,4.37,3.88,-0.49,13.78,14.46,0.68,0.0,0.11,0.11,4.71,4.44,-0.27,21086.0,20204.0,-882.0
Midwest Energy,526570,/company/526570/consolidated/,356.00,4618.12,Jun 2026,Mar 2026,True,58.78,58.45,-0.33,12.02,12.63,0.61,1.58,1.57,-0.01,,,,27.61,27.35,-0.26,8868.0,8825.0,-43.0
Minda Corp,MINDACORP,/company/MINDACORP/consolidated/,679.60,16247.84,Jun 2026,Mar 2026,True,64.84,64.84,0.0,8.8,9.3,0.5,18.82,17.87,-0.95,,,,5.97,6.43,0.46,89480.0,98747.0,9267.0
Mishra Dhatu Nig,MIDHANI,/company/MIDHANI/,403.30,7555.40,Jun 2026,Mar 2026,True,74.0,74.0,0.0,1.32,2.57,1.25,7.81,7.37,-0.44,,,,16.85,16.06,-0.79,164331.0,154762.0,-9569.0
MMP Industries,MMP,/company/MMP/consolidated/,456.35,1159.23,Jun 2026,Mar 2026,True,74.48,74.49,0.01,0.02,0.02,0.0,0.0,0.0,0.0,,,,25.5,25.49,-0.01,10750.0,11202.0,452.0
MMTC,MMTC,/company/MMTC/consolidated/,58.53,8779.50,Jun 2026,Mar 2026,True,89.93,89.93,0.0,0.13,0.16,0.03,1.77,1.78,0.01,,,,8.18,8.15,-0.03,365864.0,355989.0,-9875.0
Mobavenue AI Tech,539682,/company/539682/consolidated/,299.60,2315.85,Jun 2026,Mar 2026,True,65.6,65.6,0.0,,,,0.0,0.04,0.04,,,,34.4,34.35,-0.05,1237.0,4323.0,3086.0
Modern Insulator,515008,/company/515008/consolidated/,452.00,2130.93,Jun 2026,Mar 2026,True,60.18,60.18,0.0,0.33,0.4,0.07,1.19,1.08,-0.11,,,,38.31,38.34,0.03,140264.0,140887.0,623.0
Modison,MODISONLTD,/company/MODISONLTD/consolidated/,448.50,1455.39,Jun 2026,Mar 2026,True,52.16,52.23,0.07,0.48,0.92,0.44,0.0,0.0,0.0,,,,47.35,46.84,-0.51,21079.0,21401.0,322.0
Monarch Networth,MONARCH,/company/MONARCH/consolidated/,360.65,2860.25,Jun 2026,Mar 2026,True,53.86,53.83,-0.03,1.47,2.77,1.3,0.15,0.15,0.0,,,,44.51,43.19,-1.32,19072.0,18430.0,-642.0
Monolithisch Ind,MONOLITH,/company/MONOLITH/consolidated/,1241.90,2699.38,Jun 2026,Mar 2026,True,74.27,74.27,0.0,1.31,1.79,0.48,2.61,2.82,0.21,,,,21.81,21.12,-0.69,1658.0,2102.0,444.0
Moschip Tech.,MOSCHIP,/company/MOSCHIP/consolidated/,203.30,3968.08,Jun 2026,Mar 2026,True,39.83,39.31,-0.52,0.4,0.77,0.37,,,,,,,59.66,59.83,0.17,357850.0,361757.0,3907.0
Motil.Oswal.Fin.,MOTILALOFS,/company/MOTILALOFS/consolidated/,1036.05,62471.49,Jun 2026,Mar 2026,True,67.54,67.2,-0.34,7.03,6.86,-0.17,6.02,6.78,0.76,,,,19.4,19.15,-0.25,241961.0,225318.0,-16643.0
Motisons Jewel,MOTISONS,/company/MOTISONS/,18.08,2056.61,Jun 2026,Mar 2026,True,64.86,57.12,-7.74,2.03,2.89,0.86,0.49,0.74,0.25,,,,32.62,39.25,6.63,163669.0,169586.0,5917.0
MPS,MPSLTD,/company/MPSLTD/consolidated/,2656.00,4543.31,Jun 2026,Mar 2026,True,68.34,68.34,0.0,1.47,1.38,-0.09,1.96,2.14,0.18,,,,27.41,27.31,-0.1,25010.0,25565.0,555.0
MSP Steel & Pow.,MSPL,/company/MSPL/consolidated/,33.94,1923.72,Jun 2026,Mar 2026,True,40.22,45.12,4.9,0.12,1.18,1.06,16.81,15.78,-1.03,,,,42.86,37.92,-4.94,56983.0,55388.0,-1595.0
MSTC,MSTCLTD,/company/MSTCLTD/consolidated/,749.45,5276.12,Jun 2026,Mar 2026,True,64.75,64.75,0.0,3.93,4.91,0.98,1.2,1.29,0.09,,,,30.11,29.06,-1.05,92581.0,87424.0,-5157.0
MTAR Technologie,MTARTECH,/company/MTARTECH/,6829.50,21007.28,Jun 2026,Mar 2026,True,30.44,29.35,-1.09,17.31,24.8,7.49,27.66,22.35,-5.31,,,,24.59,23.51,-1.08,209273.0,258386.0,49113.0
Mufin Green,MUFIN,/company/MUFIN/,131.70,2609.79,Jun 2026,Mar 2026,True,47.3,47.3,0.0,1.18,2.26,1.08,9.29,10.05,0.76,,,,42.22,40.39,-1.83,25767.0,24964.0,-803.0
Multi Comm. Exc.,MCX,/company/MCX/consolidated/,3328.20,84866.40,Jun 2026,Mar 2026,True,,,,26.07,29.85,3.78,54.35,50.8,-3.55,0.01,0.01,0.0,19.38,19.15,-0.23,360169.0,432684.0,72515.0
Munjal Auto Inds,MUNJALAU,/company/MUNJALAU/consolidated/,108.70,1087.00,Jun 2026,Mar 2026,True,74.81,74.81,0.0,0.0,0.06,0.06,0.03,0.03,0.0,,,,25.17,25.1,-0.07,47111.0,46301.0,-810.0
Muthoot Microfin,MUTHOOTMF,/company/MUTHOOTMF/,182.30,3108.07,Jun 2026,Mar 2026,True,55.47,55.47,0.0,22.81,23.11,0.3,3.51,3.38,-0.13,,,,16.61,16.45,-0.16,140500.0,136798.0,-3702.0
NACL Industries,NACLIND,/company/NACLIND/consolidated/,139.35,3264.18,Jun 2026,Mar 2026,True,53.7,53.68,-0.02,0.05,0.09,0.04,1.46,1.32,-0.14,,,,44.79,44.9,0.11,47596.0,48817.0,1221.0
Natl. Aluminium,NATIONALUM,/company/NATIONALUM/consolidated/,359.10,65953.43,Jun 2026,Mar 2026,True,51.28,51.28,0.0,22.27,21.99,-0.28,10.75,11.22,0.47,,,,15.69,15.52,-0.17,969058.0,948915.0,-20143.0
Navin Fluo.Intl.,NAVINFLUOR,/company/NAVINFLUOR/consolidated/,8570.00,43976.59,Jun 2026,Mar 2026,True,27.1,27.08,-0.02,23.78,23.73,-0.05,27.61,28.46,0.85,,,,21.49,20.73,-0.76,143987.0,138594.0,-5393.0
Navkar Corporat.,NAVKARCORP,/company/NAVKARCORP/,87.70,1320.06,Jun 2026,Mar 2026,True,70.37,70.37,0.0,0.17,0.67,0.5,1.65,0.02,-1.63,,,,27.81,28.94,1.13,60347.0,59524.0,-823.0
Navneet Educat.,NAVNETEDUL,/company/NAVNETEDUL/consolidated/,124.10,2745.24,Jun 2026,Mar 2026,True,63.29,63.29,0.0,3.11,3.2,0.09,13.03,13.57,0.54,,,,20.58,19.94,-0.64,39807.0,39641.0,-166.0
Nazara Technolo.,NAZARA,/company/NAZARA/consolidated/,376.20,14438.42,Aug 2026,Jun 2026,True,34.25,33.98,-0.27,13.23,15.51,2.28,2.39,2.47,0.08,,,,50.13,48.04,-2.09,101367.0,100544.0,-823.0
NBCC,NBCC,/company/NBCC/consolidated/,82.88,22377.60,Jun 2026,Mar 2026,True,61.75,61.75,0.0,4.99,4.77,-0.22,10.75,11.28,0.53,,,,22.5,22.2,-0.3,1277277.0,1226689.0,-50588.0
NCC,NCC,/company/NCC/consolidated/,132.80,8337.79,Jun 2026,Mar 2026,True,22.81,23.09,0.28,12.11,11.29,-0.82,16.4,17.88,1.48,,,,48.68,47.75,-0.93,557418.0,543274.0,-14144.0
NDR Auto Compon.,NDRAUTO,/company/NDRAUTO/consolidated/,744.00,1769.63,Jun 2026,Mar 2026,True,73.13,73.13,0.0,0.08,0.08,0.0,0.0,0.01,0.01,,,,26.8,26.78,-0.02,26000.0,25680.0,-320.0
NELCO,NELCO,/company/NELCO/consolidated/,982.60,2242.26,Jun 2026,Mar 2026,True,50.09,50.09,0.0,4.73,5.62,0.89,0.26,0.05,-0.21,0.25,0.25,0.0,44.67,43.99,-0.68,71660.0,69141.0,-2519.0
Neogen Chemicals,NEOGEN,/company/NEOGEN/consolidated/,2389.85,7179.70,Sep 2026,Jun 2026,True,53.0,48.31,-4.69,4.11,4.51,0.4,19.6,23.43,3.83,,,,23.27,23.75,0.48,61988.0,68410.0,6422.0
Nestle India,NESTLEIND,/company/NESTLEIND/,1358.50,261961.52,Jun 2026,Mar 2026,True,62.76,62.76,0.0,9.74,10.3,0.56,12.4,11.89,-0.51,,,,15.09,15.04,-0.05,492124.0,479696.0,-12428.0
Netweb Technol.,NETWEB,/company/NETWEB/,4582.00,27238.85,Jun 2026,Mar 2026,True,66.98,66.98,0.0,9.29,9.27,-0.02,4.68,5.91,1.23,,,,19.03,17.84,-1.19,243292.0,246932.0,3640.0
Neuland Labs.,NEULANDLAB,/company/NEULANDLAB/consolidated/,21980.00,28200.06,Jun 2026,Mar 2026,True,32.63,32.62,-0.01,20.46,21.08,0.62,15.84,16.52,0.68,0.0,0.0,0.0,31.08,29.79,-1.29,46304.0,44340.0,-1964.0
New India Assura,NIACL,/company/NIACL/consolidated/,177.70,29284.96,Jun 2026,Mar 2026,True,85.44,85.44,0.0,1.01,1.02,0.01,11.17,11.17,0.0,,,,2.39,2.36,-0.03,155586.0,166768.0,11182.0
NGL Fine Chem,NGLFINE,/company/NGLFINE/,2867.00,1771.78,Jun 2026,Mar 2026,True,72.73,72.49,-0.24,0.03,0.05,0.02,0.0,0.02,0.02,,,,27.23,27.43,0.2,12516.0,13393.0,877.0
NHPC Ltd,NHPC,/company/NHPC/consolidated/,76.06,76402.53,Jun 2026,Mar 2026,True,67.4,61.39,-6.01,10.34,12.29,1.95,10.78,14.54,3.76,1.13,1.13,0.0,10.36,10.64,0.28,3367954.0,3305630.0,-62324.0
NIBE,NIBE,/company/NIBE/consolidated/,1254.00,1943.88,Jul 2026,Jun 2026,True,52.27,51.46,-0.81,10.59,11.47,0.88,0.55,0.58,0.03,,,,36.59,36.48,-0.11,44257.0,44534.0,277.0
NIIT,NIITLTD,/company/NIITLTD/consolidated/,88.15,1207.60,Jun 2026,Mar 2026,True,36.97,40.87,3.9,10.11,8.06,-2.05,11.17,11.14,-0.03,0.01,0.01,0.0,41.73,39.91,-1.82,109708.0,108184.0,-1524.0
NINtec Systems,NINSYS,/company/NINSYS/consolidated/,713.00,1324.47,Jun 2026,Mar 2026,True,47.48,47.6,0.12,0.0,0.01,0.01,0.0,0.01,0.01,,,,52.51,52.36,-0.15,8312.0,6918.0,-1394.0
Nippon Life Ind.,NAM-INDIA,/company/NAM-INDIA/consolidated/,1154.00,73860.85,Jun 2026,Mar 2026,True,71.93,71.8,-0.13,7.35,7.04,-0.31,14.77,15.49,0.72,,,,5.95,5.67,-0.28,208596.0,200154.0,-8442.0
Nitco,NITCO,/company/NITCO/consolidated/,88.25,2122.98,Jul 2026,Jun 2026,True,20.17,23.96,3.79,2.28,2.1,-0.18,0.62,0.59,-0.03,,,,76.94,73.35,-3.59,28351.0,28110.0,-241.0
Nitin Spinners,NITINSPIN,/company/NITINSPIN/,613.00,3446.28,Jun 2026,Mar 2026,True,56.71,56.71,0.0,1.1,1.92,0.82,14.28,14.68,0.4,,,,27.93,26.7,-1.23,35002.0,31698.0,-3304.0
Nitta Gelatin,NITTAGELA,/company/NITTAGELA/consolidated/,1686.60,1531.43,Jun 2026,Mar 2026,True,74.49,74.49,0.0,0.0,0.05,0.05,0.93,0.95,0.02,,,,24.59,24.51,-0.08,10551.0,11285.0,734.0
Niva Bupa Health,NIVABUPA,/company/NIVABUPA/,77.29,14292.75,Jun 2026,Mar 2026,True,55.36,55.3,-0.06,10.6,12.09,1.49,16.49,16.17,-0.32,,,,17.56,16.44,-1.12,135343.0,126567.0,-8776.0
NLC India,NLCINDIA,/company/NLCINDIA/consolidated/,261.90,36315.99,Jun 2026,Mar 2026,True,72.2,69.47,-2.73,3.61,4.62,1.01,13.97,12.94,-1.03,4.31,4.31,0.0,5.91,8.66,2.75,303919.0,333052.0,29133.0
NMDC,NMDC,/company/NMDC/consolidated/,79.99,70325.70,Jun 2026,Mar 2026,True,60.79,60.79,0.0,13.6,13.59,-0.01,13.76,13.8,0.04,,,,11.84,11.8,-0.04,1130914.0,1129202.0,-1712.0
NMDC Steel,NSLNISP,/company/NSLNISP/,42.18,12361.27,Jun 2026,Mar 2026,True,60.79,60.79,0.0,4.85,5.48,0.63,15.85,15.78,-0.07,,,,18.5,17.93,-0.57,721360.0,711902.0,-9458.0
NOCIL,NOCIL,/company/NOCIL/consolidated/,188.90,3155.12,Jun 2026,Mar 2026,True,33.76,33.76,0.0,4.55,4.78,0.23,7.92,7.48,-0.44,,,,53.79,53.99,0.2,165835.0,161342.0,-4493.0
Northern Arc,NORTHARC,/company/NORTHARC/consolidated/,302.05,4887.39,Jun 2026,Mar 2026,True,,,,7.51,8.64,1.13,7.11,5.63,-1.48,,,,85.37,85.72,0.35,96297.0,90306.0,-5991.0
Novartis India,NOVARTIND,/company/NOVARTIND/,1940.00,4790.00,Jul 2026,Jun 2026,True,70.68,70.68,0.0,0.16,0.15,-0.01,1.35,1.39,0.04,,,,27.81,27.79,-0.02,36502.0,36706.0,204.0
NRB Bearings,NRBBEARING,/company/NRBBEARING/consolidated/,534.10,5176.71,Jun 2026,Mar 2026,True,51.2,44.73,-6.47,14.69,18.92,4.23,10.06,13.85,3.79,,,,24.06,22.5,-1.56,70810.0,65659.0,-5151.0
