name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_fresh,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
Utssav CZ Gold,UTSSAV,/company/UTSSAV/,653.25,1577.46,Aug 2026,Mar 2026,True,70.3,72.55,2.25,0.36,0.01,-0.35,0.0,0.0,0.0,,,,29.33,27.43,-1.9,2301.0,1587.0,-714.0
TIL,TIL,/company/TIL/consolidated/,259.09,2145.29,Aug 2026,Jun 2026,True,61.3,61.3,0.0,2.62,2.88,0.26,3.8,3.05,-0.75,,,,32.28,32.77,0.49,11412.0,14873.0,3461.0
HMA Agro Inds.,HMAAGRO,/company/HMAAGRO/consolidated/,23.61,1184.32,Aug 2026,Jun 2026,True,75.0,75.0,0.0,4.84,4.1,-0.74,3.46,3.57,0.11,,,,16.71,17.32,0.61,63045.0,64183.0,1138.0
Goodluck India,GOODLUCK,/company/GOODLUCK/consolidated/,537.10,5356.71,Aug 2026,Jun 2026,True,54.0,54.0,0.0,2.48,1.92,-0.56,6.5,6.14,-0.36,,,,37.02,37.92,0.9,38457.0,44709.0,6252.0
Diamond Power,DIACABS,/company/DIACABS/,377.85,22794.81,Jul 2026,Jun 2026,True,84.02,74.04,-9.98,1.77,4.56,2.79,0.23,10.94,10.71,0.0,0.02,0.02,13.98,10.45,-3.53,64103.0,74023.0,9920.0
Ideaforge Tech,IDEAFORGE,/company/IDEAFORGE/consolidated/,720.45,3558.21,Jul 2026,Jun 2026,True,28.96,25.26,-3.7,4.89,8.27,3.38,2.69,10.98,8.29,,,,63.46,55.49,-7.97,165675.0,164872.0,-803.0
Skipper,SKIPPER,/company/SKIPPER/,567.50,6409.76,Jul 2026,Jun 2026,True,66.5,61.48,-5.02,4.11,10.64,6.53,1.92,2.24,0.32,,,,27.47,25.65,-1.82,87064.0,88286.0,1222.0
DEE Development,DEEDEV,/company/DEEDEV/consolidated/,711.15,5354.52,Jul 2026,Jun 2026,True,70.18,65.13,-5.05,2.17,4.67,2.5,10.79,14.16,3.37,,,,16.87,16.04,-0.83,44165.0,44179.0,14.0
Belrise Industri,BELRISE,/company/BELRISE/,249.78,24131.89,Jul 2026,Jun 2026,True,66.46,61.14,-5.32,9.4,12.09,2.69,10.0,13.12,3.12,,,,14.14,13.63,-0.51,215956.0,221048.0,5092.0
Torrent Pharma.,TORNTPHARM,/company/TORNTPHARM/consolidated/,4985.00,187485.88,Jul 2026,Jun 2026,True,68.31,60.78,-7.53,15.44,17.97,2.53,9.73,12.77,3.04,0.1,0.09,-0.01,6.42,8.39,1.97,85776.0,140599.0,54823.0
Sobhagya Mercant,512014,/company/512014/,1415.50,1471.98,Jul 2026,Jun 2026,True,64.62,60.58,-4.04,13.83,19.22,5.39,,,,,,,21.56,20.19,-1.37,1353.0,1342.0,-11.0
Paramount Comm.,PARACABLES,/company/PARACABLES/consolidated/,62.29,2043.00,Jul 2026,Jun 2026,True,49.19,45.88,-3.31,0.49,0.45,-0.04,0.11,4.11,4.0,1.7,1.58,-0.12,48.54,47.99,-0.55,132072.0,132082.0,10.0
Sterlite Tech.,STLTECH,/company/STLTECH/consolidated/,867.10,44627.07,Jul 2026,Jun 2026,True,44.52,42.29,-2.23,18.22,19.71,1.49,11.43,13.27,1.84,,,,25.82,24.74,-1.08,233593.0,235524.0,1931.0
Hirect,HIRECT,/company/HIRECT/consolidated/,1239.90,4399.52,Jul 2026,Jun 2026,True,43.92,42.58,-1.34,6.57,6.84,0.27,0.2,3.22,3.02,,,,49.31,47.37,-1.94,22270.0,22219.0,-51.0
Adani Enterp.,ADANIENT,/company/ADANIENT/consolidated/,2993.20,406464.96,Jul 2026,Jun 2026,True,74.84,71.97,-2.87,8.77,10.51,1.74,9.34,10.75,1.41,,,,7.06,6.78,-0.28,596414.0,588595.0,-7819.0
Adani Energy Sol,ADANIENSOL,/company/ADANIENSOL/consolidated/,1380.00,167518.93,Jul 2026,Jun 2026,True,74.71,73.39,-1.32,10.14,10.31,0.17,11.77,13.05,1.28,,,,3.39,3.26,-0.13,385315.0,376377.0,-8938.0
NIBE,NIBE,/company/NIBE/consolidated/,1346.90,2087.71,Jul 2026,Jun 2026,True,52.27,51.46,-0.81,10.59,11.47,0.88,0.55,0.58,0.03,,,,36.59,36.48,-0.11,44257.0,44534.0,277.0
Novartis India,NOVARTIND,/company/NOVARTIND/,2027.40,4997.32,Jul 2026,Jun 2026,True,70.68,70.68,0.0,0.16,0.15,-0.01,1.35,1.39,0.04,,,,27.81,27.79,-0.02,36502.0,36706.0,204.0
GYFTR,GYFTR,/company/GYFTR/consolidated/,168.03,1301.81,Jul 2026,Jun 2026,True,50.08,50.08,0.0,5.1,5.1,0.0,4.41,4.43,0.02,,,,40.41,40.39,-0.02,6809.0,6802.0,-7.0
Fredun Pharma,FREDUN,/company/FREDUN/,1394.00,2304.82,Jul 2026,Jun 2026,True,44.57,44.57,0.0,1.06,1.06,0.0,2.94,2.94,0.0,,,,51.45,51.43,-0.02,8903.0,9598.0,695.0
Hindusthan Insulators &,539984,/company/539984/,477.05,1032.49,Jul 2026,Jun 2026,True,75.0,75.0,0.0,,,,0.55,0.55,0.0,,,,24.45,24.45,0.0,2170.0,2167.0,-3.0
V-Marc India,VMARCIND,/company/VMARCIND/,338.40,4958.38,Jul 2026,Jun 2026,True,64.87,64.87,0.0,0.26,0.25,-0.01,0.02,0.02,0.0,,,,34.85,34.86,0.01,3330.0,3420.0,90.0
Sigma Advanced System,SIGMAADV,/company/SIGMAADV/consolidated/,936.70,17774.70,Jul 2026,Jun 2026,True,71.22,66.24,-4.98,0.24,0.13,-0.11,0.02,0.02,0.0,,,,28.52,33.61,5.09,46289.0,49801.0,3512.0
Nitco,NITCO,/company/NITCO/consolidated/,92.38,2222.35,Jul 2026,Jun 2026,True,20.17,23.96,3.79,2.28,2.1,-0.18,0.62,0.59,-0.03,,,,76.94,73.35,-3.59,28351.0,28110.0,-241.0
Tembo Global,TEMBO,/company/TEMBO/consolidated/,59.31,1099.91,Jul 2026,Jun 2026,True,37.74,39.04,1.3,8.48,8.25,-0.23,1.65,1.56,-0.09,,,,52.13,51.15,-0.98,17962.0,18491.0,529.0
Goldiam Intl.,GOLDIAM,/company/GOLDIAM/consolidated/,332.60,4998.16,Jul 2026,Jun 2026,True,58.51,58.51,0.0,1.99,2.18,0.19,0.78,0.06,-0.72,,,,38.72,39.25,0.53,75143.0,75383.0,240.0
Team Lease Serv.,TEAMLEASE,/company/TEAMLEASE/consolidated/,1196.00,1824.62,Jul 2026,Jun 2026,True,31.11,33.29,2.18,6.95,8.05,1.1,47.81,44.25,-3.56,,,,14.12,14.37,0.25,47581.0,29208.0,-18373.0
