ticker,name,peer_of,current_price,pe_ratio,market_cap,div_yield,net_profit_qtr,qtr_profit_var,sales_qtr,qtr_sales_var,roce,latest_quarter,results_pending
GODREJPROP,Godrej Propert.,GODREJPROP;HUBTOWN;KALPATARU;RAYMONDREL;SIGNATURE;SOBHA,1686.30,27.22,50822.31,,,70.53,,62.99,,Mar 2026,False
ANANTRAJ,Anant Raj,GODREJPROP;HUBTOWN;KALPATARU;RAYMONDREL;SIGNATURE;SOBHA,476.25,30.89,17140.89,,,23.57,,19.64,,Mar 2026,False
RAYMONDREL,Raymond Realty,RAYMONDREL,577.05,12.61,3841.98,,,6613.33,,888.24,,Mar 2026,False
544310,Yash Highvoltage,544310,706.20,51.85,2016.29,,,68.29,,46.53,,Mar 2026,False
FACT,F A C T,KRISHANA,865.65,3785.59,56064.59,,,-948.75,,65.14,,Dec 2025,True
COROMANDEL,Coromandel Inter,KRISHANA,1837.20,27.00,54178.31,,,-42.51,,20.35,,Mar 2026,False
CHAMBLFERT,Chambal Fert.,KRISHANA,457.30,9.41,18372.88,,,29.84,,13.73,,Mar 2026,False
PARADEEP,Paradeep Phosph.,KRISHANA,120.95,12.24,12557.71,,,-10.48,,12.11,,Mar 2026,False
GSFC,G S F C,KRISHANA,169.49,9.75,6751.81,,,18.09,,4.51,,Dec 2025,True
RCF,R C F,KRISHANA,121.67,21.62,6711.33,,,0.90,,-6.24,,Dec 2025,True
MBAPL,M B Agro Prod.,KRISHANA,526.10,30.70,4610.05,,,319.37,,32.99,,,True
KRISHANA,Krishana Phosch.,KRISHANA,665.40,22.37,4029.17,,,152.83,,59.76,,,True
NEULANDLAB,Neuland Labs.,NEULANDLAB,16327.00,57.61,20971.76,,,664.72,,136.40,,Mar 2026,False
PRICOLLTD,Pricol Ltd,PRICOLLTD,553.55,26.95,6759.95,,,109.53,,42.87,,Mar 2026,False
TITAN,Titan Company,THANGAMAYL,4169.70,71.92,370237.92,,,31.00,,80.48,,Mar 2026,False
KALYANKJIL,Kalyan Jewellers,THANGAMAYL,346.10,25.92,35722.90,,,118.27,,66.22,,Mar 2026,False
THANGAMAYL,Thangamayil Jew.,THANGAMAYL,3546.90,31.19,11023.87,,,354.33,,105.63,,,True
PCJEWELLER,PC Jeweller,THANGAMAYL,8.16,12.04,7914.33,,,28.97,,36.90,,Dec 2025,True
PNGJL,P N Gadgil Jewe.,THANGAMAYL,545.25,17.94,7398.85,,,45.60,,123.16,,Mar 2026,False
BLUESTONE,Bluestone Jewel,THANGAMAYL,464.20,475.99,7063.68,,,162.67,,47.73,,Mar 2026,False
SKYGOLD,Sky Gold & Diam.,THANGAMAYL,442.45,30.01,6880.92,,,120.42,,77.13,,Dec 2025,True
GESHIP,GE Shipping Co,SEAMECLTD,1696.50,8.24,24249.69,,,187.56,,23.58,,Mar 2026,False
SCI,S C I,SEAMECLTD,344.70,11.88,16073.10,,,118.54,,14.19,,Mar 2026,False
SHREEJISPG,Shreeji Ship. Gl,SEAMECLTD,431.15,43.49,7027.48,,,135.46,,30.05,,Dec 2025,True
SEAMECLTD,SEAMEC Ltd,SEAMECLTD,1492.10,15.11,3798.05,,,141.04,,63.85,,Mar 2026,False
ABSMARINE,ABS Marine,SEAMECLTD,229.75,11.23,564.04,,,291.78,,69.94,,Sep 2025,True
ESSARSHPNG,Essar Shipping,SEAMECLTD,23.88,,495.51,,,-155.06,,-98.70,,Dec 2025,True
TRANSWORLD,Transworld Shipp,SEAMECLTD,164.74,,362.27,,,-271.41,,-19.88,,Dec 2025,True
BEL,Bharat Electron,APOLLO;IDEAFORGE;PARAS,426.60,52.29,311871.97,,,20.45,,23.97,,Dec 2025,True
HAL,Hind.Aeronautics,APOLLO;IDEAFORGE;PARAS,4326.50,31.74,289322.42,,,5.52,,1.77,,Mar 2026,False
BDL,Bharat Dynamics,APOLLO;IDEAFORGE;PARAS,1309.20,82.58,47890.99,,,-50.44,,-31.91,,,True
GRSE,Garden Reach Sh.,APOLLO;IDEAFORGE;PARAS,2581.70,39.55,29582.70,,,24.14,,29.06,,,True
MTARTECH,MTAR Technologie,APOLLO;IDEAFORGE;PARAS,7110.50,222.98,21883.56,,,212.25,,67.14,,Mar 2026,False
DATAPATTNS,Data Pattern,APOLLO;IDEAFORGE;PARAS,3752.20,76.83,21022.85,,,21.30,,-12.96,,,True
ZENTEC,Zen Technologies,APOLLO;IDEAFORGE;PARAS,1557.00,72.96,14069.07,,,-68.80,,-45.20,,Mar 2026,False
PARAS,Paras Defence,PARAS,743.55,69.65,5986.91,,,64.34,,58.28,,Mar 2026,False
VEDL,Vedanta,VEDL,327.00,14.80,127850.38,,,70.89,,47.48,,Mar 2026,False
JAINREC,Jain Resource,VEDL,463.45,45.42,15998.65,,,21.78,,76.42,,Mar 2026,False
POCL,Pondy Oxides,VEDL,1537.50,39.56,4695.21,,,148.08,,54.51,,Dec 2025,True
INNOMET,Innomet Advanced,VEDL,98.50,58.47,127.46,,,18.13,,60.72,,,True
BONLON,Bonlon Industrie,VEDL,45.35,33.07,73.74,,,-48.94,,-7.32,,Dec 2025,True
IGIL,International Ge,IBULLSLTD;SMARTWORKS,313.30,25.46,13535.42,,,18.25,,20.63,,Dec 2025,True
NESCO,NESCO,IBULLSLTD;SMARTWORKS,1238.70,21.41,8741.01,,,-4.82,,20.03,,Dec 2025,True
WEWORK,Wework India,IBULLSLTD;SMARTWORKS,483.85,28.44,6639.47,,,151.30,,28.95,,Dec 2025,True
NIRLON,Nirlon,IBULLSLTD;SMARTWORKS,604.30,16.59,5455.53,,,18.90,,5.32,,,True
NDRINVIT,NDR INVIT Trust,IBULLSLTD;SMARTWORKS,135.10,37.99,5350.13,,,-10.82,,33.50,,Dec 2025,True
CMSINFO,CMS Info Systems,IBULLSLTD;SMARTWORKS,301.40,16.00,4962.17,,,-20.37,,2.24,,Mar 2026,False
SMARTWORKS,Smartworks Cowor,IBULLSLTD;SMARTWORKS,419.85,451.15,4750.59,,,300.24,,44.99,,Mar 2026,False
IBULLSLTD,Indiabulls,IBULLSLTD,18.45,13.24,4286.26,,,259.74,,302.18,,Mar 2026,False
BAJFINANCE,Bajaj Finance,IIFL;MUTHOOTFIN;POONAWALLA;SGFIN,921.10,29.86,573598.65,,,21.99,,18.10,,Mar 2026,False
