screen_stock_name,screen_stock_ticker,peer_name,peer_ticker,current_price,pe_ratio,market_cap,div_yield,net_profit_qtr,qtr_profit_var,sales_qtr,qtr_sales_var,roce,Debt / Eq,EPS 12M Rs.
SEAMEC Ltd,SEAMECLTD,Essar Shipping,ESSARSHPNG,23.88,,495.51,,,-155.06,,-98.70,,,-3.08
SEAMEC Ltd,SEAMECLTD,Transworld Shipp,TRANSWORLD,164.74,,362.27,,,-271.41,,-19.88,,0.38,-22.34
Paras Defence,PARAS,Bharat Electron,BEL,426.60,52.29,311871.97,,,20.45,,23.97,,0.00,8.16
Paras Defence,PARAS,Hind.Aeronautics,HAL,4326.50,31.74,289322.42,,,5.52,,1.77,,0.00,136.30
Paras Defence,PARAS,Bharat Dynamics,BDL,1309.20,82.58,47890.99,,,-50.44,,-31.91,,0.00,15.82
Paras Defence,PARAS,Garden Reach Sh.,GRSE,2581.70,39.55,29582.70,,,24.14,,29.06,,0.01,65.29
Paras Defence,PARAS,MTAR Technologie,MTARTECH,7110.50,222.98,21883.56,,,212.25,,67.14,,0.46,30.99
Paras Defence,PARAS,Data Pattern,DATAPATTNS,3752.20,76.83,21022.85,,,21.30,,-12.96,,0.00,48.47
Paras Defence,PARAS,Zen Technologies,ZENTEC,1557.00,72.96,14069.07,,,-68.80,,-45.20,,0.01,21.43
Paras Defence,PARAS,Paras Defence,PARAS,743.55,69.65,5986.91,,,64.34,,58.28,,0.04,10.93
Vedanta,VEDL,Vedanta,VEDL,327.00,14.80,127850.38,,,70.89,,47.48,,0.56,44.47
Vedanta,VEDL,Jain Resource,JAINREC,463.45,45.42,15998.65,,,21.78,,76.42,,0.82,10.07
Vedanta,VEDL,Pondy Oxides,POCL,1537.50,39.56,4695.21,,,148.08,,54.51,,0.05,39.53
Vedanta,VEDL,Innomet Advanced,INNOMET,98.50,58.47,127.46,,,18.13,,60.72,,0.27,1.68
Vedanta,VEDL,Bonlon Industrie,BONLON,45.35,33.07,73.74,,,-48.94,,-7.32,,0.50,1.57
Indiabulls,IBULLSLTD,International Ge,IGIL,313.30,25.46,13535.42,,,18.25,,20.63,,0.10,12.30
Indiabulls,IBULLSLTD,NESCO,NESCO,1238.70,21.41,8741.01,,,-4.82,,20.03,,0.04,57.95
Indiabulls,IBULLSLTD,Wework India,WEWORK,483.85,28.44,6639.47,,,151.30,,28.95,,22.73,9.74
Indiabulls,IBULLSLTD,Nirlon,NIRLON,604.30,16.59,5455.53,,,18.90,,5.32,,2.47,36.50
Indiabulls,IBULLSLTD,NDR INVIT Trust,NDRINVIT,135.10,37.99,5350.13,,,-10.82,,33.50,,0.38,3.58
Indiabulls,IBULLSLTD,CMS Info Systems,CMSINFO,301.40,16.00,4962.17,,,-20.37,,2.24,,0.09,18.43
