name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_target,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
TIL,TIL,/company/TIL/consolidated/,248.07,2045.18,Aug 2026,Jun 2026,,61.3,61.3,0.0,2.62,2.88,0.26,3.8,3.05,-0.75,,,,32.28,32.77,0.49,11412.0,14873.0,3461.0
Asian Granito,ASIANTILES,/company/ASIANTILES/consolidated/,50.09,1485.04,Jun 2026,Mar 2026,,38.79,38.79,0.0,1.05,1.37,0.32,0.13,0.14,0.01,,,,60.03,59.69,-0.34,77037.0,77330.0,293.0
Simplex Infra,SIMPLEXINF,/company/SIMPLEXINF/consolidated/,256.30,2027.21,Jun 2026,Mar 2026,,35.99,35.99,0.0,0.49,0.39,-0.1,5.81,6.59,0.78,,,,57.71,57.02,-0.69,14642.0,14881.0,239.0
TARC Ltd,TARC,/company/TARC/consolidated/,130.66,3855.73,Jun 2026,Mar 2026,,65.12,65.12,0.0,0.92,0.99,0.07,6.4,6.44,0.04,,,,27.56,27.46,-0.1,54264.0,53065.0,-1199.0
NIIT,NIITLTD,/company/NIITLTD/consolidated/,89.52,1226.37,Jun 2026,Mar 2026,,36.97,40.87,3.9,10.11,8.06,-2.05,11.17,11.14,-0.03,0.01,0.01,0.0,41.73,39.91,-1.82,109708.0,108184.0,-1524.0
Sundrop Brands,SUNDROP,/company/SUNDROP/consolidated/,742.35,2798.43,Jun 2026,Mar 2026,,38.91,43.9,4.99,0.23,0.2,-0.03,5.55,5.79,0.24,,,,55.3,50.12,-5.18,14925.0,14778.0,-147.0
Orchid Pharma,ORCHPHARMA,/company/ORCHPHARMA/consolidated/,1107.20,6630.49,Jun 2026,Mar 2026,,69.84,69.84,0.0,0.87,0.8,-0.07,20.24,20.75,0.51,,,,9.04,8.62,-0.42,35118.0,33433.0,-1685.0
STEL Holdings,STEL,/company/STEL/consolidated/,663.55,1224.61,Jun 2026,Mar 2026,,71.65,72.05,0.4,0.01,0.01,0.0,0.13,0.07,-0.06,,,,28.21,27.88,-0.33,21183.0,20877.0,-306.0
Tata Inv.Corpn.,TATAINVEST,/company/TATAINVEST/consolidated/,682.25,34518.64,Jun 2026,Mar 2026,,73.38,73.38,0.0,2.62,2.66,0.04,0.54,0.56,0.02,0.41,0.41,0.0,23.03,22.96,-0.07,245759.0,241568.0,-4191.0
Kitex Garments,KITEX,/company/KITEX/consolidated/,119.48,2383.63,Jun 2026,Mar 2026,,56.66,56.66,0.0,0.88,1.21,0.33,0.13,0.12,-0.01,,,,42.33,42.01,-0.32,100555.0,99677.0,-878.0
United Foodbrands,UFBL,/company/UFBL/consolidated/,720.30,2817.65,Jun 2026,Mar 2026,,34.6,34.62,0.02,9.66,10.55,0.89,16.73,17.22,0.49,,,,39.01,37.62,-1.39,36426.0,31896.0,-4530.0
Utkarsh Small F.,UTKARSHBNK,/company/UTKARSHBNK/,13.88,2469.98,Jun 2026,Mar 2026,,42.67,42.67,0.0,11.49,11.9,0.41,9.56,9.54,-0.02,0.02,0.02,0.0,36.27,35.88,-0.39,282993.0,279233.0,-3760.0
ITI,ITI,/company/ITI/,253.25,24392.01,Jun 2026,Mar 2026,,90.02,90.02,0.0,0.0,0.08,0.08,0.06,0.06,0.0,7.88,7.88,0.0,2.03,1.94,-0.09,162249.0,151049.0,-11200.0
Gujarat Alkalies,GUJALKALI,/company/GUJALKALI/consolidated/,626.55,4601.38,Jun 2026,Mar 2026,,47.28,47.28,0.0,0.94,3.26,2.32,3.72,3.02,-0.7,,,,48.04,46.44,-1.6,73032.0,64106.0,-8926.0
Pilani Invest.,PILANIINVS,/company/PILANIINVS/consolidated/,4008.30,4438.09,Jun 2026,Mar 2026,,58.68,58.68,0.0,0.43,0.42,-0.01,1.38,1.41,0.03,,,,39.52,39.49,-0.03,17854.0,17621.0,-233.0
Max Estates,MAXESTATES,/company/MAXESTATES/consolidated/,595.05,9733.82,Jun 2026,Mar 2026,,45.27,45.25,-0.02,25.88,25.84,-0.04,7.65,8.2,0.55,,,,21.19,20.69,-0.5,30720.0,29722.0,-998.0
Texmaco Infrast.,TEXINFRA,/company/TEXINFRA/consolidated/,115.02,1465.66,Jun 2026,Mar 2026,,66.4,66.55,0.15,1.51,1.71,0.2,2.28,2.26,-0.02,,,,29.82,29.49,-0.33,36089.0,35028.0,-1061.0
KIOCL,KIOCL,/company/KIOCL/,342.55,20818.51,Mar 2026,Dec 2025,,99.03,99.03,0.0,0.0,0.05,0.05,0.03,0.03,0.0,,,,0.92,0.88,-0.04,40444.0,39787.0,-657.0
Aurum Proptech,AURUM,/company/AURUM/consolidated/,222.04,1601.21,Jun 2026,Mar 2026,,47.41,47.89,0.48,0.13,0.42,0.29,,,,,,,52.45,51.69,-0.76,56379.0,55252.0,-1127.0
Mah. Scooters,MAHSCOOTER,/company/MAHSCOOTER/,13313.00,15214.85,Jun 2026,Mar 2026,,51.0,51.0,0.0,6.33,6.18,-0.15,3.69,3.85,0.16,0.01,0.01,0.0,38.96,38.96,0.0,23919.0,24766.0,847.0
Delhivery,DELHIVERY,/company/DELHIVERY/consolidated/,430.75,32275.85,Jun 2026,Mar 2026,,,,,48.23,41.93,-6.3,36.27,43.07,6.8,,,,15.51,15.0,-0.51,167299.0,175609.0,8310.0
Polyplex Corpn,POLYPLEX,/company/POLYPLEX/consolidated/,1091.60,3426.80,Jun 2026,Mar 2026,,26.72,26.72,0.0,9.91,10.22,0.31,2.91,2.85,-0.06,,,,60.46,60.18,-0.28,98128.0,95075.0,-3053.0
DCX Systems,DCXINDIA,/company/DCXINDIA/consolidated/,163.50,1821.17,Jun 2026,Mar 2026,,52.17,52.17,0.0,0.83,1.72,0.89,2.91,2.69,-0.22,,,,44.09,43.43,-0.66,163978.0,160726.0,-3252.0
Easy Trip Plann.,EASEMYTRIP,/company/EASEMYTRIP/consolidated/,5.99,2386.81,Jun 2026,Mar 2026,,47.72,43.56,-4.16,1.42,5.95,4.53,2.3,1.99,-0.31,,,,48.57,48.49,-0.08,1015650.0,991281.0,-24369.0
OneSource Speci.,ONESOURCE,/company/ONESOURCE/consolidated/,1587.90,18208.91,Jun 2026,Mar 2026,,30.48,30.48,0.0,17.5,19.19,1.69,20.61,23.37,2.76,,,,31.4,26.95,-4.45,79460.0,77899.0,-1561.0
Kalyani Invest.,KICL,/company/KICL/consolidated/,5005.50,2187.40,Jun 2026,Mar 2026,,74.98,74.98,0.0,0.65,0.64,-0.01,0.51,0.56,0.05,,,,23.85,23.8,-0.05,24502.0,23781.0,-721.0
Electrotherm(I),ELECTHERM,/company/ELECTHERM/consolidated/,903.85,1151.76,Jun 2026,Mar 2026,,29.9,29.86,-0.04,5.86,9.28,3.42,0.8,0.78,-0.02,,,,63.45,60.09,-3.36,9635.0,8907.0,-728.0
