name,ticker,url,cmp,market_cap,latest_quarter,prev_quarter,is_target,promoter_prev,promoter_latest,promoter_change,fii_prev,fii_latest,fii_change,dii_prev,dii_latest,dii_change,government_prev,government_latest,government_change,public_prev,public_latest,public_change,shareholders_prev,shareholders_latest,shareholders_change
3B Blackbio,3BBLACKBIO,/company/3BBLACKBIO/consolidated/,1369.30,1175.23,Jun 2026,Mar 2026,,40.94,40.95,0.01,2.57,2.5,-0.07,1.98,2.15,0.17,,,,54.5,54.4,-0.1,10616.0,11049.0,433.0
ASK Automotive,ASKAUTOLTD,/company/ASKAUTOLTD/consolidated/,663.40,13078.44,Jun 2026,Mar 2026,,74.95,74.95,0.0,9.29,9.5,0.21,10.25,10.97,0.72,,,,5.52,4.58,-0.94,83847.0,79443.0,-4404.0
Marsons,MARSONS,/company/MARSONS/,127.88,2200.81,Jun 2026,Mar 2026,,53.65,53.65,0.0,0.12,0.13,0.01,0.15,0.17,0.02,,,,46.08,46.05,-0.03,27035.0,30677.0,3642.0
Ivalue Infosolut,IVALUE,/company/IVALUE/consolidated/,225.48,1234.59,Jun 2026,Mar 2026,,32.08,32.1,0.02,2.22,2.73,0.51,15.25,15.44,0.19,,,,50.45,49.73,-0.72,50234.0,50199.0,-35.0
Rajputana Stain.,RSL,/company/RSL/,187.27,1564.97,Jun 2026,Mar 2026,,57.03,57.09,0.06,4.3,6.3,2.0,0.18,0.12,-0.06,,,,38.49,36.49,-2.0,14609.0,8209.0,-6400.0
Amic Forging,544037,/company/544037/consolidated/,2481.25,2865.55,Mar 2026,Sep 2025,,57.96,57.96,0.0,0.15,0.15,0.0,0.48,0.56,0.08,,,,41.41,41.32,-0.09,2723.0,2686.0,-37.0
Supriya Lifesci.,SUPRIYA,/company/SUPRIYA/,939.10,7558.14,Jun 2026,Mar 2026,,68.3,68.3,0.0,5.16,6.18,1.02,5.7,5.3,-0.4,,,,20.83,20.21,-0.62,81161.0,82082.0,921.0
Signpost India,SIGNPOST,/company/SIGNPOST/,267.05,1427.38,Jun 2026,Mar 2026,,60.38,60.38,0.0,0.09,0.23,0.14,0.02,0.02,0.0,,,,39.5,39.35,-0.15,16069.0,16455.0,386.0
Syncom Formul.,SYNCOMF,/company/SYNCOMF/,20.40,1917.60,Jun 2026,Mar 2026,,50.57,50.57,0.0,0.21,0.35,0.14,,,,,,,49.23,49.07,-0.16,431690.0,422114.0,-9576.0
Redtape,REDTAPE,/company/REDTAPE/consolidated/,118.80,6567.35,Jun 2026,Mar 2026,,71.83,71.83,0.0,3.81,3.21,-0.6,11.01,11.74,0.73,,,,13.36,13.22,-0.14,77943.0,75576.0,-2367.0
Mayur Uniquoters,MAYURUNIQ,/company/MAYURUNIQ/consolidated/,726.15,3155.31,Jun 2026,Mar 2026,,58.77,58.77,0.0,3.68,4.78,1.1,3.65,3.13,-0.52,,,,33.9,33.33,-0.57,38037.0,37381.0,-656.0
Avanti Feeds,AVANTIFEED,/company/AVANTIFEED/consolidated/,753.15,10261.34,Jun 2026,Mar 2026,,43.23,43.23,0.0,7.63,7.19,-0.44,6.82,7.35,0.53,2.72,2.72,0.0,39.6,39.5,-0.1,116798.0,122500.0,5702.0
Sandur Manganese,SANDUMA,/company/SANDUMA/consolidated/,183.24,8907.38,Jun 2026,Mar 2026,,74.22,74.22,0.0,1.63,1.73,0.1,0.66,0.58,-0.08,,,,23.47,23.47,0.0,85207.0,87803.0,2596.0
Diamond Power,DIACABS,/company/DIACABS/,370.85,22179.47,Jul 2026,Jun 2026,,84.02,74.04,-9.98,1.77,4.56,2.79,0.23,10.94,10.71,0.0,0.02,0.02,13.98,10.45,-3.53,64103.0,74023.0,9920.0
Radico Khaitan,RADICO,/company/RADICO/consolidated/,4448.80,59606.09,Jun 2026,Mar 2026,,40.2,40.19,-0.01,17.63,18.2,0.57,27.35,28.08,0.73,,,,14.82,13.51,-1.31,152036.0,147064.0,-4972.0
Kwality Pharma,KPL,/company/KPL/consolidated/,3752.80,3893.98,Jun 2026,Mar 2026,,54.87,54.86,-0.01,2.79,3.13,0.34,0.36,0.56,0.2,,,,41.99,41.45,-0.54,10555.0,13279.0,2724.0
Emcure Pharma,EMCURE,/company/EMCURE/consolidated/,1975.00,37467.85,Jun 2026,Mar 2026,,77.87,77.83,-0.04,3.35,4.87,1.52,6.1,8.46,2.36,,,,12.69,8.84,-3.85,122189.0,124991.0,2802.0
Tanfac Inds.,506854,/company/506854/,3427.90,7415.77,Jun 2026,Mar 2026,,51.82,48.73,-3.09,0.03,1.53,1.5,0.33,4.16,3.83,,,,47.83,45.58,-2.25,16344.0,16393.0,49.0
Ajax Engineering,AJAXENGG,/company/AJAXENGG/,564.60,6459.66,Jun 2026,Mar 2026,,80.0,80.0,0.0,5.65,4.67,-0.98,10.15,11.17,1.02,,,,4.2,4.17,-0.03,72001.0,69540.0,-2461.0
Master Trust,MASTERTR,/company/MASTERTR/consolidated/,86.46,1063.60,Jun 2026,Mar 2026,,71.93,71.93,0.0,0.02,0.03,0.01,0.0,0.0,0.0,,,,28.05,28.04,-0.01,12747.0,15147.0,2400.0
Alivus Life,ALIVUS,/company/ALIVUS/,1374.20,16871.25,Jun 2026,Mar 2026,,74.87,74.87,0.0,5.3,5.54,0.24,7.27,7.18,-0.09,,,,12.55,12.42,-0.13,127969.0,125559.0,-2410.0
Bhansali Engg.,BEPL,/company/BEPL/consolidated/,130.23,3240.88,Jun 2026,Mar 2026,,57.48,57.48,0.0,1.36,1.39,0.03,0.0,0.0,0.0,,,,41.16,41.11,-0.05,113545.0,111850.0,-1695.0
Interarch Build.,INTERARCH,/company/INTERARCH/,1701.60,2861.59,Jun 2026,Mar 2026,,59.44,59.44,0.0,5.29,4.86,-0.43,5.17,6.1,0.93,,,,30.12,29.61,-0.51,71121.0,63547.0,-7574.0
Ram Ratna Wires,RAMRAT,/company/RAMRAT/consolidated/,562.75,5253.22,Jun 2026,Mar 2026,,69.3,69.3,0.0,0.17,0.47,0.3,0.44,0.62,0.18,,,,30.09,29.62,-0.47,19958.0,24296.0,4338.0
Skipper,SKIPPER,/company/SKIPPER/,561.55,6341.99,Jul 2026,Jun 2026,,66.5,61.48,-5.02,4.11,10.64,6.53,1.92,2.24,0.32,,,,27.47,25.65,-1.82,87064.0,88286.0,1222.0
Volt.Transform.,VOLTAMP,/company/VOLTAMP/,10747.00,10872.87,Jun 2026,Mar 2026,,30.0,30.0,0.0,22.82,21.53,-1.29,31.66,33.85,2.19,0.05,0.06,0.01,15.47,14.57,-0.9,56679.0,52732.0,-3947.0
CFF Fluid,543920,/company/543920/,1079.10,2263.32,Mar 2026,Sep 2025,,68.06,68.06,0.0,0.01,0.01,0.0,0.52,0.66,0.14,,,,31.42,31.29,-0.13,5441.0,5120.0,-321.0
Sobhagya Mercant,512014,/company/512014/,1380.40,1435.48,Jul 2026,Jun 2026,,64.62,60.58,-4.04,13.83,19.22,5.39,,,,,,,21.56,20.19,-1.37,1353.0,1342.0,-11.0
Kajaria Ceramics,KAJARIACER,/company/KAJARIACER/consolidated/,1183.60,18599.45,Jun 2026,Mar 2026,,47.69,47.69,0.0,10.23,11.58,1.35,27.47,26.24,-1.23,,,,14.6,14.48,-0.12,92831.0,125200.0,32369.0
Prem. Explosives,PREMEXPLN,/company/PREMEXPLN/consolidated/,674.25,3624.85,Jun 2026,Mar 2026,,41.33,41.33,0.0,1.18,1.67,0.49,9.17,9.37,0.2,,,,48.33,47.62,-0.71,92900.0,84316.0,-8584.0
Welspun Corp,WELCORP,/company/WELCORP/consolidated/,2731.50,72054.41,Jun 2026,Mar 2026,,49.73,49.73,0.0,11.23,14.61,3.38,21.49,19.96,-1.53,0.0,0.0,0.0,17.52,15.68,-1.84,122338.0,138939.0,16601.0
Railtel Corpn.,RAILTEL,/company/RAILTEL/,263.90,8469.56,Jun 2026,Mar 2026,,72.84,72.84,0.0,3.72,3.98,0.26,0.99,0.99,0.0,,,,22.44,22.19,-0.25,492275.0,486005.0,-6270.0
Tembo Global,TEMBO,/company/TEMBO/consolidated/,57.36,1063.75,Jul 2026,Jun 2026,,37.74,39.04,1.3,8.48,8.25,-0.23,1.65,1.56,-0.09,,,,52.13,51.15,-0.98,17962.0,18491.0,529.0
Vedant Fashions,MANYAVAR,/company/MANYAVAR/,535.35,13007.84,Jun 2026,Mar 2026,,74.94,74.94,0.0,8.28,7.95,-0.33,12.62,13.19,0.57,,,,4.14,3.92,-0.22,84119.0,83016.0,-1103.0
Jagsonpal Pharma,JAGSNPHARM,/company/JAGSNPHARM/,225.68,1488.53,Jun 2026,Mar 2026,,67.89,69.06,1.17,2.44,2.3,-0.14,0.22,0.62,0.4,,,,29.44,28.04,-1.4,26264.0,24181.0,-2083.0
JSW Dulux,JSWDULUX,/company/JSWDULUX/consolidated/,3137.10,14286.45,Jun 2026,Mar 2026,,61.2,61.2,0.0,8.43,8.49,0.06,21.79,21.96,0.17,,,,8.58,8.33,-0.25,48493.0,48114.0,-379.0
Refex Industries,REFEX,/company/REFEX/consolidated/,291.00,3993.35,Jun 2026,Mar 2026,,55.85,56.57,0.72,1.37,0.93,-0.44,0.13,0.38,0.25,,,,42.66,42.13,-0.53,94159.0,91033.0,-3126.0
Insolation Ener,INA,/company/INA/consolidated/,92.56,2040.50,Jun 2026,Mar 2026,,66.12,66.12,0.0,1.09,0.84,-0.25,0.74,1.27,0.53,,,,32.05,31.75,-0.3,15112.0,26561.0,11449.0
NDR Auto Compon.,NDRAUTO,/company/NDRAUTO/consolidated/,753.20,1791.51,Jun 2026,Mar 2026,,73.13,73.13,0.0,0.08,0.08,0.0,0.0,0.01,0.01,,,,26.8,26.78,-0.02,26000.0,25680.0,-320.0
Himadri Special,HSCL,/company/HSCL/consolidated/,669.45,33778.72,Jun 2026,Mar 2026,,52.49,52.49,0.0,5.98,6.8,0.82,3.22,3.33,0.11,,,,38.32,37.38,-0.94,408408.0,414141.0,5733.0
Jaro Institute,JARO,/company/JARO/,460.40,1025.33,Jun 2026,Mar 2026,,57.28,61.43,4.15,0.78,0.75,-0.03,4.87,2.71,-2.16,,,,37.06,33.33,-3.73,69097.0,66788.0,-2309.0
Elgi Equipments,ELGIEQUIP,/company/ELGIEQUIP/consolidated/,608.95,19298.17,Jun 2026,Mar 2026,,31.19,31.19,0.0,22.2,21.9,-0.3,9.08,10.12,1.04,,,,37.0,36.3,-0.7,89695.0,89318.0,-377.0
Coromandel Inter,COROMANDEL,/company/COROMANDEL/consolidated/,1944.90,57377.75,Jun 2026,Mar 2026,,56.35,56.35,0.0,13.02,11.5,-1.52,18.19,19.92,1.73,,,,12.24,12.07,-0.17,137335.0,130118.0,-7217.0
Bikaji Foods,BIKAJI,/company/BIKAJI/,553.65,13882.02,Jun 2026,Mar 2026,,73.88,73.88,0.0,4.68,4.61,-0.07,17.28,17.51,0.23,,,,4.15,4.01,-0.14,114783.0,111049.0,-3734.0
Garware Tech.,GARFIBRES,/company/GARFIBRES/consolidated/,800.45,7816.26,Jun 2026,Mar 2026,,53.36,54.25,0.89,9.12,8.67,-0.45,10.29,10.11,-0.18,,,,27.24,26.98,-0.26,41415.0,39254.0,-2161.0
Divi's Lab.,DIVISLAB,/company/DIVISLAB/consolidated/,9352.00,248266.22,Jun 2026,Mar 2026,,51.88,51.88,0.0,20.29,20.19,-0.1,19.13,19.29,0.16,0.09,0.09,0.0,8.61,8.53,-0.08,228006.0,226324.0,-1682.0
Vadilal Inds.,VADILALIND,/company/VADILALIND/consolidated/,7598.00,5462.96,Jun 2026,Mar 2026,,64.72,64.72,0.0,0.58,1.02,0.44,0.42,1.26,0.84,,,,34.27,33.01,-1.26,22133.0,19041.0,-3092.0
Data Pattern,DATAPATTNS,/company/DATAPATTNS/,4484.90,25108.25,Jun 2026,Mar 2026,,42.41,42.41,0.0,12.47,12.5,0.03,11.68,11.98,0.3,,,,33.43,33.11,-0.32,200453.0,214100.0,13647.0
T B Z,TBZ,/company/TBZ/consolidated/,665.35,4439.92,Jun 2026,Mar 2026,,74.12,74.12,0.0,0.26,1.47,1.21,0.0,0.0,0.0,,,,25.63,24.41,-1.22,54101.0,50689.0,-3412.0
ICICI Lombard,ICICIGI,/company/ICICIGI/,1480.00,73942.02,Jun 2026,Mar 2026,,51.28,51.22,-0.06,22.29,21.45,-0.84,19.41,20.64,1.23,0.1,0.1,0.0,6.9,6.57,-0.33,229930.0,229599.0,-331.0
Pix Transmission,PIXTRANS,/company/PIXTRANS/consolidated/,1733.00,2362.08,Jun 2026,Mar 2026,,62.06,62.06,0.0,0.41,0.61,0.2,2.51,2.7,0.19,,,,35.02,34.64,-0.38,28244.0,27767.0,-477.0
EPack PrefabTech,EPACKPEB,/company/EPACKPEB/consolidated/,250.34,2519.20,Jun 2026,Mar 2026,,64.96,64.95,-0.01,10.91,11.1,0.19,3.15,3.03,-0.12,0.05,0.02,-0.03,20.93,20.88,-0.05,66353.0,66656.0,303.0
Power Mech Proj.,POWERMECH,/company/POWERMECH/consolidated/,2443.10,7724.18,Jun 2026,Mar 2026,,58.41,58.41,0.0,6.48,6.54,0.06,20.18,20.6,0.42,,,,14.92,14.45,-0.47,77350.0,79426.0,2076.0
Uniparts India,UNIPARTS,/company/UNIPARTS/consolidated/,851.70,3846.36,Jun 2026,Mar 2026,,65.87,65.87,0.0,2.82,3.38,0.56,5.34,4.94,-0.4,,,,25.87,25.71,-0.16,74368.0,66920.0,-7448.0
Black Box,BBOX,/company/BBOX/consolidated/,810.05,14386.42,Jun 2026,Mar 2026,,69.99,69.95,-0.04,3.26,4.69,1.43,2.99,3.41,0.42,0.12,0.12,0.0,23.62,21.82,-1.8,73638.0,72559.0,-1079.0
Automotive Axles,AUTOAXLES,/company/AUTOAXLES/,1664.40,2514.91,Jun 2026,Mar 2026,,71.04,71.04,0.0,0.83,0.75,-0.08,15.15,15.44,0.29,,,,12.99,12.78,-0.21,24109.0,23383.0,-726.0
Berger Paints,BERGEPAINT,/company/BERGEPAINT/consolidated/,452.60,52773.29,Jun 2026,Mar 2026,,74.98,74.98,0.0,4.68,4.82,0.14,11.71,11.78,0.07,,,,8.63,8.4,-0.23,326701.0,312571.0,-14130.0
Fredun Pharma,FREDUN,/company/FREDUN/,1382.60,2286.55,Jul 2026,Jun 2026,,44.57,44.57,0.0,1.06,1.06,0.0,2.94,2.94,0.0,,,,51.45,51.43,-0.02,8903.0,9598.0,695.0
Siemens,SIEMENS,/company/SIEMENS/consolidated/,3858.00,137391.29,Jun 2026,Mar 2026,,75.0,75.0,0.0,6.8,6.47,-0.33,8.59,9.1,0.51,,,,9.6,9.45,-0.15,258262.0,257203.0,-1059.0
GPT Infraproject,GPTINFRA,/company/GPTINFRA/consolidated/,118.16,1493.12,Jun 2026,Mar 2026,,69.37,69.37,0.0,2.72,2.96,0.24,7.03,7.03,0.0,,,,20.88,20.65,-0.23,35326.0,34177.0,-1149.0
Va Tech Wabag,WABAG,/company/WABAG/consolidated/,2072.10,12948.88,Jun 2026,Mar 2026,,19.09,19.08,-0.01,16.6,18.25,1.65,5.77,6.33,0.56,,,,58.54,56.33,-2.21,200388.0,205590.0,5202.0
Venus Pipes,VENUSPIPES,/company/VENUSPIPES/,2223.30,4605.81,Jun 2026,Mar 2026,,48.41,48.41,0.0,2.71,2.63,-0.08,17.49,17.81,0.32,,,,31.38,31.15,-0.23,57317.0,53604.0,-3713.0
Alkem Lab,ALKEM,/company/ALKEM/consolidated/,5331.50,63746.08,Jun 2026,Mar 2026,,51.2,49.7,-1.5,10.15,10.42,0.27,21.39,22.64,1.25,,,,17.25,17.25,0.0,62835.0,62822.0,-13.0
Senco Gold,SENCO,/company/SENCO/consolidated/,337.35,5529.20,Jun 2026,Mar 2026,,64.49,64.48,-0.01,7.6,6.88,-0.72,12.61,13.54,0.93,,,,15.29,15.11,-0.18,158119.0,150103.0,-8016.0
Elantas Beck,ELANTAS,/company/ELANTAS/,14410.00,11423.79,Jun 2026,Mar 2026,,75.0,75.0,0.0,0.04,0.05,0.01,12.25,12.28,0.03,,,,12.71,12.67,-0.04,9307.0,9155.0,-152.0
Lumax Auto Tech.,LUMAXTECH,/company/LUMAXTECH/consolidated/,2116.40,14424.90,Jun 2026,Mar 2026,,55.98,55.98,0.0,8.38,8.7,0.32,16.81,16.53,-0.28,,,,18.83,18.79,-0.04,58405.0,64759.0,6354.0
Grindwell Norton,GRINDWELL,/company/GRINDWELL/consolidated/,1941.90,21500.72,Jun 2026,Mar 2026,,58.04,58.04,0.0,5.56,5.21,-0.35,19.18,19.59,0.41,,,,17.23,17.17,-0.06,46994.0,45545.0,-1449.0
Sri Lotus,LOTUSDEV,/company/LOTUSDEV/consolidated/,213.84,10450.87,Jun 2026,Mar 2026,,81.87,81.87,0.0,1.0,1.2,0.2,1.59,1.73,0.14,,,,15.55,15.19,-0.36,102268.0,96724.0,-5544.0
Zydus Lifesci.,ZYDUSLIFE,/company/ZYDUSLIFE/consolidated/,1162.30,115939.87,Jun 2026,Mar 2026,,75.0,75.02,0.02,6.95,6.89,-0.06,11.2,11.27,0.07,0.0,0.0,0.0,6.86,6.83,-0.03,418314.0,399251.0,-19063.0
AIA Engineering,AIAENG,/company/AIAENG/consolidated/,3923.40,36613.31,Jun 2026,Mar 2026,,58.5,58.5,0.0,16.79,16.87,0.08,22.03,22.1,0.07,0.0,0.0,0.0,2.69,2.54,-0.15,59500.0,58979.0,-521.0
Olectra Greentec,OLECTRA,/company/OLECTRA/consolidated/,1217.20,9990.87,Jun 2026,Mar 2026,,50.02,50.02,0.0,7.11,7.95,0.84,0.68,0.58,-0.1,,,,42.2,41.47,-0.73,456911.0,433537.0,-23374.0
Navin Fluo.Intl.,NAVINFLUOR,/company/NAVINFLUOR/consolidated/,8438.00,43299.27,Jun 2026,Mar 2026,,27.1,27.08,-0.02,23.78,23.73,-0.05,27.61,28.46,0.85,,,,21.49,20.73,-0.76,143987.0,138594.0,-5393.0
P N Gadgil Jewe.,PNGJL,/company/PNGJL/consolidated/,598.40,8808.60,Aug 2026,Jun 2026,,83.11,76.62,-6.49,0.48,4.73,4.25,4.76,7.88,3.12,,,,11.64,10.78,-0.86,153617.0,151408.0,-2209.0
Tata Technolog.,TATATECH,/company/TATATECH/consolidated/,715.55,29055.04,Jun 2026,Mar 2026,,55.18,55.17,-0.01,5.77,6.3,0.53,3.44,4.48,1.04,,,,35.58,34.04,-1.54,1299834.0,1239124.0,-60710.0
Elecon Engg.Co,ELECON,/company/ELECON/consolidated/,420.55,9437.14,Jun 2026,Mar 2026,,59.28,59.28,0.0,7.13,6.99,-0.14,5.67,7.18,1.51,0.04,0.04,0.0,27.89,26.52,-1.37,122574.0,116624.0,-5950.0
SPR Auto Technologies,SHRIPISTON,/company/SHRIPISTON/consolidated/,4512.60,20932.27,Aug 2026,Jun 2026,,43.75,41.55,-2.2,8.21,8.39,0.18,12.16,16.0,3.84,,,,35.86,34.05,-1.81,54998.0,58035.0,3037.0
Jayaswal Neco,JAYNECOIND,/company/JAYNECOIND/,90.28,8766.17,Jun 2026,Mar 2026,,55.15,55.15,0.0,0.9,1.32,0.42,0.3,0.78,0.48,,,,43.65,42.75,-0.9,96844.0,98451.0,1607.0
Fermenta Biotec.,FERMENTA,/company/FERMENTA/consolidated/,470.60,1385.02,Aug 2026,Jun 2026,,64.08,64.09,0.01,0.13,0.37,0.24,0.04,0.04,0.0,,,,33.19,32.95,-0.24,14131.0,14777.0,646.0
Titan Company,TITAN,/company/TITAN/consolidated/,4928.50,437545.41,Jun 2026,Mar 2026,,52.9,52.9,0.0,15.65,15.39,-0.26,14.84,15.15,0.31,0.19,0.19,0.0,16.34,16.31,-0.03,735599.0,733428.0,-2171.0
Godawari Power,GPIL,/company/GPIL/consolidated/,232.89,15679.06,Jun 2026,Mar 2026,,63.34,63.18,-0.16,5.94,6.0,0.06,2.63,3.1,0.47,0.0,0.0,0.0,28.09,27.72,-0.37,138643.0,150509.0,11866.0
Ahluwalia Contr.,AHLUCONT,/company/AHLUCONT/consolidated/,582.40,3901.36,Jun 2026,Mar 2026,,55.32,55.32,0.0,13.74,14.05,0.31,22.32,22.32,0.0,,,,8.61,8.32,-0.29,36498.0,34624.0,-1874.0
Keltech Energies,506528,/company/506528/,12768.95,1276.90,Jun 2026,Mar 2026,,54.33,54.33,0.0,,,,0.14,0.16,0.02,,,,45.52,45.51,-0.01,6724.0,6244.0,-480.0
Datamatics Glob.,DATAMATICS,/company/DATAMATICS/consolidated/,765.30,4523.41,Jun 2026,Mar 2026,,66.33,66.33,0.0,0.48,0.5,0.02,0.11,0.1,-0.01,,,,33.09,33.07,-0.02,48119.0,48772.0,653.0
Kirl. Brothers,KIRLOSBROS,/company/KIRLOSBROS/consolidated/,1775.30,14097.47,Jun 2026,Mar 2026,,65.95,65.95,0.0,6.24,6.41,0.17,10.38,10.23,-0.15,,,,17.43,17.4,-0.03,66266.0,64065.0,-2201.0
GNG Electronics,EBGNG,/company/EBGNG/consolidated/,692.30,7893.02,Jun 2026,Mar 2026,,78.71,74.78,-3.93,2.78,5.27,2.49,5.2,6.82,1.62,,,,13.33,13.13,-0.2,49026.0,53228.0,4202.0
Astra Microwave,ASTRAMICRO,/company/ASTRAMICRO/consolidated/,1616.30,15345.96,Jun 2026,Mar 2026,,6.54,6.54,0.0,7.56,10.74,3.18,15.42,16.09,0.67,,,,70.49,66.64,-3.85,116138.0,117894.0,1756.0
Sirca Paints,SIRCA,/company/SIRCA/,404.60,2297.84,Jun 2026,Mar 2026,,65.19,65.19,0.0,6.29,6.08,-0.21,0.0,3.53,3.53,,,,28.51,25.21,-3.3,37648.0,37017.0,-631.0
Bhagyanagar Ind,BHAGYANGR,/company/BHAGYANGR/consolidated/,426.05,1427.12,Aug 2026,Jun 2026,,64.91,65.8,0.89,0.86,2.15,1.29,0.2,2.08,1.88,0.0,0.0,0.0,34.04,29.98,-4.06,30946.0,31751.0,805.0
Bharat Seats,BHARATSE,/company/BHARATSE/,219.86,1380.72,Jun 2026,Mar 2026,,74.66,74.66,0.0,0.15,0.15,0.0,0.21,0.22,0.01,,,,24.97,24.96,-0.01,29712.0,30200.0,488.0
Metro Brands,METROBRAND,/company/METROBRAND/consolidated/,920.30,25088.44,Jun 2026,Mar 2026,,71.8,71.8,0.0,3.77,3.73,-0.04,7.58,7.68,0.1,,,,16.86,16.78,-0.08,59425.0,57942.0,-1483.0
AGI Infra,AGIIL,/company/AGIIL/consolidated/,269.30,3366.18,Jun 2026,Mar 2026,,71.29,71.29,0.0,3.98,4.68,0.7,0.01,0.01,0.0,,,,24.71,24.02,-0.69,9169.0,11736.0,2567.0
KEI Industries,KEI,/company/KEI/consolidated/,4575.00,43737.27,Jun 2026,Mar 2026,,35.0,35.0,0.0,27.27,27.32,0.05,25.83,25.9,0.07,,,,11.88,11.76,-0.12,158565.0,160497.0,1932.0
GPT Healthcare,GPTHEALTH,/company/GPTHEALTH/,162.79,1335.77,Jun 2026,Mar 2026,,65.57,65.57,0.0,2.81,3.03,0.22,6.84,6.94,0.1,,,,24.79,24.46,-0.33,64075.0,62454.0,-1621.0
Pearl Global Ind,PGIL,/company/PGIL/consolidated/,1194.90,11038.62,Sep 2026,Jun 2026,,61.11,59.91,-1.2,6.82,6.76,-0.06,19.16,20.12,0.96,,,,12.91,13.19,0.28,30518.0,42398.0,11880.0
Antelopus Selan,ANTELOPUS,/company/ANTELOPUS/,1110.40,3918.36,Jun 2026,Mar 2026,,69.94,69.94,0.0,0.26,0.41,0.15,0.03,0.76,0.73,,,,29.78,28.9,-0.88,26349.0,24275.0,-2074.0
Sunshield Chem.,SUNSHIEL,/company/SUNSHIEL/,1192.00,1048.34,Jun 2026,Mar 2026,,66.53,66.54,0.01,8.46,9.13,0.67,0.01,0.01,0.0,,,,25.0,24.32,-0.68,4838.0,5318.0,480.0
Ramco Systems,RAMCOSYS,/company/RAMCOSYS/consolidated/,592.40,2227.23,Jun 2026,Mar 2026,,55.69,55.51,-0.18,10.02,11.48,1.46,2.03,1.77,-0.26,,,,32.27,31.25,-1.02,27987.0,32100.0,4113.0
Varun Beverages,VBL,/company/VBL/consolidated/,430.00,145447.27,Jun 2026,Mar 2026,,59.43,59.43,0.0,19.51,19.03,-0.48,14.35,15.16,0.81,0.04,0.05,0.01,6.66,6.33,-0.33,877604.0,813548.0,-64056.0
SEAMEC Ltd,SEAMECLTD,/company/SEAMECLTD/consolidated/,1734.70,4410.47,Jun 2026,Mar 2026,,72.72,72.72,0.0,3.73,5.93,2.2,4.49,4.39,-0.1,0.02,0.02,0.0,19.05,16.95,-2.1,16623.0,18049.0,1426.0
K P R Mill Ltd,KPRMILL,/company/KPRMILL/consolidated/,1120.80,38310.51,Jun 2026,Mar 2026,,67.52,67.52,0.0,6.64,7.02,0.38,19.47,19.25,-0.22,0.01,0.01,0.0,6.35,6.19,-0.16,123029.0,111866.0,-11163.0
Arvind Fashions.,ARVINDFASN,/company/ARVINDFASN/consolidated/,419.40,5607.57,Jun 2026,Mar 2026,,35.1,35.1,0.0,11.97,12.15,0.18,24.63,24.99,0.36,,,,28.3,27.76,-0.54,177446.0,174838.0,-2608.0
V2 Retail,V2RETAIL,/company/V2RETAIL/,213.18,7773.34,Jun 2026,Mar 2026,,51.43,51.43,0.0,2.62,3.11,0.49,9.28,10.65,1.37,,,,36.67,34.82,-1.85,45025.0,52967.0,7942.0
Usha Martin,USHAMART,/company/USHAMART/consolidated/,531.30,16190.93,Jun 2026,Mar 2026,,40.52,40.28,-0.24,14.77,15.1,0.33,14.81,15.26,0.45,,,,29.8,29.24,-0.56,101177.0,104425.0,3248.0
Thejo Engg.,THEJO,/company/THEJO/consolidated/,2167.90,2351.75,Jun 2026,Mar 2026,,53.61,53.61,0.0,0.84,0.85,0.01,3.17,3.38,0.21,,,,42.37,42.17,-0.2,7909.0,8000.0,91.0
Cera Sanitary.,CERA,/company/CERA/,5501.00,7094.94,Jun 2026,Mar 2026,,54.41,54.41,0.0,14.2,15.42,1.22,14.18,14.07,-0.11,,,,17.18,16.08,-1.1,141006.0,131617.0,-9389.0
Honasa Consumer,HONASA,/company/HONASA/consolidated/,473.65,15442.14,Jun 2026,Mar 2026,,35.54,35.47,-0.07,13.74,13.64,-0.1,19.24,21.58,2.34,,,,31.48,29.3,-2.18,78187.0,85336.0,7149.0
Panama Petrochem,PANAMAPET,/company/PANAMAPET/consolidated/,481.25,2911.25,Jun 2026,Mar 2026,,63.16,63.16,0.0,11.28,11.72,0.44,0.67,0.67,0.0,,,,24.88,24.44,-0.44,25780.0,26973.0,1193.0
Sambhv Steel,SAMBHV,/company/SAMBHV/,151.94,4477.24,Jun 2026,Mar 2026,,56.15,56.11,-0.04,1.52,1.53,0.01,3.09,3.17,0.08,0.0,0.02,0.02,39.24,39.17,-0.07,71309.0,69951.0,-1358.0
Aayush Art,540718,/company/540718/,1285.25,1968.00,Mar 2026,Sep 2025,,20.71,24.63,3.92,,,,,,,,,,79.29,75.38,-3.91,249.0,299.0,50.0
Indegene,INDGN,/company/INDGN/consolidated/,592.10,14265.15,Jun 2026,Mar 2026,,,,,10.27,9.92,-0.35,8.29,8.74,0.45,,,,81.43,81.34,-0.09,142119.0,138533.0,-3586.0
Hirect,HIRECT,/company/HIRECT/consolidated/,1242.20,4404.67,Jul 2026,Jun 2026,,43.92,42.58,-1.34,6.57,6.84,0.27,0.2,3.22,3.02,,,,49.31,47.37,-1.94,22270.0,22219.0,-51.0
Marksans Pharma,MARKSANS,/company/MARKSANS/consolidated/,332.95,15088.09,Jun 2026,Mar 2026,,43.87,43.87,0.0,16.76,17.47,0.71,6.57,6.19,-0.38,,,,32.78,32.46,-0.32,246279.0,246635.0,356.0
